cityid,city_name,adm1id,adm1_name,countryid,country_name,regionid,region_name,year,population,scope,sector,sector_code,subsector,subsector_code,activity_amount_mj,co2e_total_ton,notation
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Stationary energy,stationary_energy,Residential buildings,stationary_energy_residential_buildings,13581612599.101213,319317.41005464,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Stationary energy,stationary_energy,Commercial buildings & facilities,stationary_energy_commercial_buildings,8785259450.342722,76315.80615796521,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Stationary energy,stationary_energy,Institutional buildings & facilities,stationary_energy_institutional_buildings,3151828189.0299,86747.136510635,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Stationary energy,stationary_energy,Industrial buildings & facilities,stationary_energy_industry,1104257269.920507,80934.080681314,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Stationary energy,stationary_energy,Agriculture,stationary_energy_agriculture_forestry_fisheries,1049336.5943815,77.7596192554,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Stationary energy,stationary_energy,Fugitive emissions,stationary_energy_fugitive_emissions,,,NO
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Transport,transportation,On-road,transportation_on_road,3448063006.881763,247299.81795694,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Transport,transportation,Rail,transportation_rail,77915000.956323,3514.8963517739,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Transport,transportation,Waterborne navigation,transportation_waterborne_navigation,43127841.921139,3195.9283465873,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2015,580184,Total emissions,Transport,transportation,Aviation,transportation_aviation,,,NE
